label,text
0,comic book
0,It makes sense
0,approximately
0,Meanwhile
0,salty
0,boon
0,expenditure
0,yesternight
0,promotion
0,runt
0,application
0,"Mom, definitely, definitely"
0,"Oh, that's it"
0,Showing brochures
0,kimbap
0,Finished
0,university
0,knob
0,participation
0,army
0,Chacha
0,housework
0,Packed all the time
0,just
0,distinction
0,match
0,letter
0,similar
0,doctor
0,okay
0,female soldier
0,alley
0,competitiveness
0,even
0,earthly
0,drama
0,Like this
0,There won't be
0,kneading
0,seat
0,Arrived now
0,fried rice
0,that
0,participant
0,chopsticks
0,ensign
0,wealth
0,some
0,story
0,too
0,pronunciation
0,also
0,station
0,announcer
0,north
0,step
0,Just the two of us
0,ham
0,doctor
0,mistake
0,teeth
0,ant
0,Proud
0,first
0,who
0,movie star
0,girlfriend
0,butter
0,disastrous
0,we
0,entirely
0,I
0,story
0,indoor
0,simply
0,assignment
0,seat
0,many
0,circumference
0,once
0,What is that
0,Bad Noomi
0,at least
0,sister-in-law
0,direction
0,area
0,cancer
0,bell
0,stop
0,international
0,hi
0,tutoring
0,wall
0,sash
0,severance pay
0,up and down
0,snack
0,a moment ago
0,here
0,gold medal
0,yes there
0,ruler
0,introduction
0,If you are
0,I can't live trapped
0,existence
0,dragonfly
0,fight
0,bicycle
0,It's frustrating
0,Pocket money too
0,prolongation
0,this year
0,It was in my arms
0,analysis
0,direction
0,size
0,Tongue
0,mimicry
0,between
0,attend
0,Name
0,official
0,size
0,thursday
0,what
0,same
0,lighting
0,somehow
0,vehicle
0,seaweed
0,self
0,To my first love
0,therefore
0,switch
0,sorrow
0,south
0,kids
0,that
0,I laughed
0,slowly
0,duck
0,Thank you so much for that
0,representative
0,Both of those
0,ice cream
0,my dark history
0,I am
0,congrats
0,It's strange
0,with a view to
0,Chinese restaurant
0,dictionary
0,nursing
0,carried over to
0,effective
0,length
0,"Hello, see"
0,right
0,indifference
0,one
0,plate
0,this year
0,sight
0,democracy
0,victory
0,emergency
0,math
0,gradually
0,representative
0,house
0,profession
0,rainbow
0,How
0,actually
0,deliciously
0,thing
0,right
0,nightmare
0,radio
0,fairytale
0,culture
0,employment
0,elevation
0,queen
0,letter
0,I drank it
0,continent
0,public
0,repeat repeat
0,their house
0,Laughed
0,broom
0,mood
0,next year
0,thunder
0,sportswear
0,superior
0,autumn
0,intellectual
0,air conditioning
0,morning
0,sound
0,as much as possible
0,nine
0,clearly
0,repeatedly
0,meaning
0,ma'am
0,house and
0,pack
0,buddhism
0,bow loudly
0,black history
0,like that
0,thickness
0,under
0,swipe
0,highway
0,lie
0,impression
0,Seo Young-eun
0,Quite
0,peach
0,absence
0,lover
0,chinese character
0,guide
0,separately
0,caliber
0,realistic
0,submit
0,new year
0,interview
0,separately
0,habit
0,rice
0,field
0,"In addition,"
0,Hangul Day
0,still
0,basic
0,Hey Han Ian
0,water level
0,sister who
0,Similar to there
0,I want to see everything
0,thought
0,equipment
0,person
0,more
0,a gift to give
0,today
0,man
0,include
0,Day
0,member
0,pharmaceutical
0,customs
0,scared
0,midnight
0,Pan
0,record
0,a moment ago
0,so
0,internationalization
0,number of animals
0,swear word
0,over there
0,sound
0,number
0,release
0,just now
0,propaganda
0,Sweetly pretty
0,artist
0,garments
0,preparation
0,ketchup
0,demand
0,Chinese characters
0,salt
0,My favorite singer
0,quickly
0,live well
0,child
0,eight
0,rocks
0,provision
0,invitation letter
0,lesson
0,headmaster
0,report
0,coming out
0,only
0,law
0,colleague
0,market
0,Kalguksu
0,olympics
0,wife
0,new generation
0,city
0,you
0,second
0,i have nothing
0,forty
0,addition
0,immediately
0,yesterday
0,legend
0,daily necessities
0,at that time
0,Sometimes I cry
0,baths
0,amain
0,Even more
0,stop
0,Just the number of humans
0,cream
0,How much is a gentleman
0,Like this
0,today
0,different
0,last time
